Num.col,Colector,Localidad-sym,Familia,Genero,especie,Infraespecifico,calificadorID,Nombre cientifico,N¼ individuos en parche,UICN,LISTA-ROJA-ECUADOR,Habito,Amenazada,Localidad,NOTAS,ENDEMICA PAIS,ENDEMICA CENTINELA,PAIS,,,,,,,,,,
observacion,A Fern‡ndez,CDP,Gesneriaceae,Monopyle,sodiroana,,,Monopyle sodiroana,<100,EN,VU,Hierba,s’,Centinela del Pichincha,,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,CDP,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,<300,EN,EN,Hierba,s’,,,,,ECU-COL,,,,,,,,,,
104,A Fern‡ndez,M2,Malvaceae,Matisia,grandifolia,,,Matisia grandifolia,,EN,EN,çrbol,s’,Milton Murillo M2,,,,ECU-COL,,,,,,,,,,
4591,JC Cer—n,M2,Polygalaceae,Monnina,sodiroana,,cf.,Monnina cf. sodiroana,,EN,EN,Hierba,s’,Milton Murillo M2,,,,ECU-COL,,,,,,,,,,
4644,JC Cer—n,M2,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,,EN,EN,çrbol,s’,Milton Murillo M2,,,,ECU-COL,,,,,,,,,,
4650,JC Cer—n,M2,Capparaceae,Podandrogyne,brevipedunculata,,,Podandrogyne brevipedunculata,,EN,EN,Hierba,s’,Milton Murillo M2,,,,ECU,,,,,,,,,,
4666,JC Cer—n,M2,Gesneriaceae,Drymonia,laciniosa,,,Drymonia laciniosa,,EN,EN,Hierba trepadora,s’,Milton Murillo M2,,,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M2,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,<100,EN,EN,çrbol,s’,Milton Murillo M2,,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,M2,Malvaceae,Matisia,grandifolia,,,Matisia grandifolia,<50,EN,EN,çrbol,s’,Milton Murillo M2,,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,M2,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,<100,EN,EN,çrbol,s’,Milton Murillo M2,,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,M2,Polygalaceae,Monnina,sodiroana,,cf.,Monnina cf. sodiroana,<100,EN,EN,Arbusto,s’,Milton Murillo M2,,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,M2,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,<300,EN,EN,Hierba,s’,Milton Murillo M2,,,,,,,,,,,,,,
4605,JC Cer—n,M3,Melastomataceae,Blakea,involvens,,,Blakea involvens,<10,EN,EN,çrbol,s’,Milton Murillo M3,,,,ECU-COL,,,,,,,,,,
4714,JC Cer—n,M3,Thymelaeacea,Daphnopsis,grandis,,,Daphnopsis grandis,,EN,EN,çrbol,s’,Milton Murillo M3,,,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M3,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,<100,EN,EN,çrbol,s’,Milton Murillo M3,,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,M3,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,<300,EN,EN,Hierba,s’,Milton Murillo M3,,,,,,,,,,,,,,
observacion,A Fern‡ndez,M4,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,<300,EN,EN,Hierba,s’,Milton Murillo M4,,,,,,,,,,,,,,
6552,"Guevara, Juan Ernesto",Otro,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,,EN,EN,çrbol,s’,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",,,,ECU-COL,,,,,,,,,,
16644,"Clark, John Littner",Otro,Araceae,Dracontium,croatii,,,Dracontium croatii,,EN,EN,Hierba,s’,"Parroquia: El Esfuerzo. Road between El Esfuerzo and Palanco, 7.3 km east of El Esfuerzo, before arriving in the village of Alegria del Bolo.",,,,ECU-COL,,,,,,,,,,
16653,"Clark, John Littner",Otro,Melastomataceae,Blakea,rotundifolia,,,Blakea rotundifolia,,EN,NT,,,"Parroquia: El Esfuerzo. Road between El Esfuerzo and Palanco, 7.3 km east of El Esfuerzo, before arriving in the village of Alegria del Bolo.",,,,ECU,,,,,,,,,,
16852,"Clark, John Littner",Otro,Passifloraceae,Passiflora,discophora,,,Passiflora discophora,,EN,EN,,,"Parroquia: Santa Mar’a del Toachi, Centinela del Pichincha, on the road between Patrica Pilar and Maria del Toachi (before the entrance to Bijagual), Cooperativa Flor de los Rios.",,,,ECU-COL,,,,,,,,,,
16883,"Clark, John Littner",Otro,Melastomataceae,Blakea,involvens,,,Blakea involvens,<10,EN,EN,çrbol,s’,"Parroquia: Santa Mar’a del Toachi, Centinela del Pichincha, patch of forest owned by Don Milton, trail/small road from school, area known locally as ÒCooperativa Flor de los Rios.Ó",,,,ECU-COL,,,,,,,,,,
observacion,DM White,PDB,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,<50,EN,EN,çrbol,s’,Monte Palmar del Bimbe en la finca de Javier Pozo en la subida al cima.,,,,ECU-COL,,,,,,,,,,
17715,"Clark, John Littner",PDB,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,,EN,EN,Hierba,s’,Recinto Palmar del Bimbe. Parche de bosque en la cima de la monta–a rocosa. Propiedad de la familia Pozo.,,,,,,,,,,,,,,
observacion,DM White,PDB,Araceae,Dracontium,croatii,,,Dracontium croatii,<50,EN,EN,Hierba,s’,,,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,PH,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,<300,EN,EN,Hierba,s’,Milton Murillo PH,,,,,,,,,,,,,,
100,A Fern‡ndez,PH,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,,EN,EN,çrbol,s’,"Parroquia: El Esfuerzo. El Respaldo, 3.5 km east of Segundo Respaldo (dead end road). Finca de Paul Henry.",,,,ECU-PER,,,,,,,,,,
4524,JC Cer—n,PH,Malvaceae,Matisia,coloradorum,,,Matisia coloradorum,,EN,EN,çrbol,s’,"Parroquia: El Esfuerzo. El Respaldo, 3.5 km east of Segundo Respaldo (dead end road). Finca de Paul Henry.",,,,ECU,,,,,,,,,,
16617,"Clark, John Littner",PH,Amaryllidaceae,Urceolina,astrophiala,,,Urceolina astrophiala,,EN,,,,"Parroquia: El Esfuerzo. El Respaldo, 3.5 km east of Segundo Respaldo (dead end road). Finca de Paul Henry.",EN bajo el nombre de Eucharis astrophiala,,,,,,,,,,,,,
16631,"Clark, John Littner",PH,Gesneriaceae,Drymonia,laciniosa,,,Drymonia laciniosa,,EN,EN,Hierba trepadora,s’,"Parroquia: El Esfuerzo. El Respaldo, 3.5 km east of Segundo Respaldo (dead end road). Finca de Paul Henry.",,,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,PH,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,<100,EN,EN,çrbol,s’,"Parroquia: El Esfuerzo. El Respaldo, 3.5 km east of Segundo Respaldo (dead end road). Finca de Paul Henry.",,,,ECU-PER,,,,,,,,,,
48,A Fern‡ndez,SBC,Marantaceae,Calathea,roseobracteata,,,Calathea roseobracteata,,EN,EN,Hierba,s’,Bosque Cascada,,,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBC,Araceae,Dracontium,croatii,,,Dracontium croatii,<50,EN,EN,Hierba,s’,,,,,,,,,,,,,,,
4893,JC Cer—n,SBS,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,,EN,EN,çrbol,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Malvaceae,Matisia,grandifolia,,,Matisia grandifolia,<100,EN,EN,çrbol,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,<100,EN,EN,çrbol,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,,,ECU-COL,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Gesneriaceae,Monopyle,sodiroana,,,Monopyle sodiroana,<100,EN,VU,Hierba,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Gesneriaceae,Gasteranthus,macrocalyx,,,Gasteranthus macrocalyx,<300,EN,EN,Hierba,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,,,,,,,,,,,,,
10006,"Cornejo, Xavier",SBS,Malvaceae,Matisia,palenquiana,,,Matisia palenquiana,,EN,EN,çrbol,s’,La Centinela; southwestern side of southernmost mountain.,,,,ECU,,,,,,,,,,
4736,JC Cer—n,SBSR,Gesneriaceae,Gasteranthus,timidus,,,Gasteranthus timidus,,EN,,Arbusto,,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,X,,ECU,,,,,,,,,,
4742,JC Cer—n,SBSR,Rutaceae,Erythrochiton,giganteus,,,Erythrochiton giganteus,,EN,EN,çrbol,s’,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,,,ECU,,,,,,,,,,
4748,JC Cer—n,SBSR,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,,EN,EN,çrbol,s’,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,SBSR,Sapindaceae,Allophylus,dodsonii,,,Allophylus dodsonii,<100,EN,EN,çrbol,s’,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,,,ECU-PER,,,,,,,,,,
observacion,A Fern‡ndez,SBSR,Meliaceae,Carapa,megistocarpa,,,Carapa megistocarpa,<100,EN,EN,çrbol,s’,"Bosque Santa Rosa, cerca de la escuela y la casa del Presidente",,,,ECU-COL,,,,,,,,,,
